term_key,search_term,ads_campaigns,ads_ad_groups,impressions_ads,clicks_ads,cost_ads,conversions_ads,search_budget_lost_impression_share,ctr_ads,avg_cpc_ads,cpa_ads,query_sc,clicks_sc,impressions_sc,ctr_sc,position_sc,source_match,intent,is_branded,is_priority_product,is_competitor_or_third_party,is_coupon_or_freebie,expected_ctr_sc,opportunity_score,recommended_action,priority,reason,ads_breakdown_summary,revenue_upside_50pct_scale,estimated_revenue_potential_new_kw
kit rejuvenescimento,kit rejuvenescimento,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | kit de skincare | search | produtos de skincare | shopping | best sellers | todos,77.0,1.0,0.93,0.0,0.1216678938796651,0.012987012987012988,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | kit de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
melhores serum para o rosto,melhores serum para o rosto,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,8.0,1.0,0.93,0.0,0.1216678938796651,0.125,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
necessaire melu,necessaire melu,WG_Shopping | Portfólio Geral | nbd,todos,3.0,1.0,0.93,0.0,0.0019842830030239,0.3333333333333333,0.93,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.93, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
onde comprar celimax original no brasil,onde comprar celimax original no brasil,WG_Search | Soluções | nbd,search | produtos de skincare,1.0,1.0,0.93,0.0,0.0793697977877321,1.0,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.93, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
quais os melhores serum facial,quais os melhores serum facial,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,18.0,1.0,0.93,0.0,0.1216678938796651,0.05555555555555555,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
qual o melhor creme para o rosto depois dos 40 anos,qual o melhor creme para o rosto depois dos 40 anos,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,26.0,1.0,0.93,0.0,0.1216678938796651,0.038461538461538464,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
rejuvenescimento coreano,rejuvenescimento coreano,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos coreanos para pele | shopping | best sellers | todos,20.0,1.0,0.93,0.0,0.1216678938796651,0.05,0.93,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.93, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
shiseido benefiance olhos,shiseido benefiance olhos,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,10.0,1.0,0.93,0.0,0.1216678938796651,0.1,0.93,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skin care 26 year old woman,skin care 26 year old woman,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,2.0,1.0,0.93,0.0,0.1216678938796651,0.5,0.93,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
suavizador de olheiras,suavizador de olheiras,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme para olheiras | shopping | best sellers | todos,46.0,1.0,0.93,0.0,0.1216678938796651,0.021739130434782608,0.93,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | creme para olheiras: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
the beauty box produtos,the beauty box produtos,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,8.0,1.0,0.93,0.0,0.1216678938796651,0.125,0.93,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.93, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
hidratação coreana,hidratação coreana,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos coreanos para pele | shopping | best sellers | todos,143.0,2.0,0.9299999999999999,0.0,0.1216678938796651,0.013986013986013986,0.46499999999999997,,hidratação coreana,0.0,33.0,0.0,8.91,ads+search_console,AMBÍGUA,False,False,False,False,0.02,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.57, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.36, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
creme clareador para o rosto barato,creme clareador para o rosto barato,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,5.0,2.0,0.9299999999999999,0.0,0.1216678938796651,0.4,0.46499999999999997,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.52, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.41, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
uau box assinatura,uau box assinatura,WG_Search | Soluções | nbd,search | produtos de skincare,1.0,1.0,0.929447,0.0,0.0793697977877321,1.0,0.929447,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.93, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
rotina de skincare noturna,rotina de skincare noturna,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,16.0,1.0,0.929213,0.0,0.1216678938796651,0.0625,0.929213,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.93, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
gel colageno,gel colageno,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,40.0,1.0,0.92,0.0,0.1216678938796651,0.025,0.92,,gel colageno,0.0,16.0,0.0,3.06,ads+search_console,COMPRADOR,False,False,False,False,0.05,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
beautiron onde comprar,beautiron onde comprar,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd,search | produtos de skincare | shopping | best sellers,33.0,2.0,0.92,0.0,0.1216678938796651,0.06060606060606061,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
bepantol face,bepantol face,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2.0,1.0,0.92,0.0,0.1216678938796651,0.5,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
centella acne,centella acne,WG_Search | Soluções | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | todos,3.0,1.0,0.92,0.0,0.0793697977877321,0.3333333333333333,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.92, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
cerave olhos,cerave olhos,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,177.0,2.0,0.92,0.0,0.1216678938796651,0.011299435028248588,0.46,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme de coreano,creme de coreano,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,26.0,2.0,0.92,0.0,0.1216678938796651,0.07692307692307693,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.55, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.37, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme pdrn coreano,creme pdrn coreano,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,127.0,1.0,0.92,0.0,0.1216678938796651,0.007874015748031496,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$0.92, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme tira manchas do rosto,creme tira manchas do rosto,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,115.0,1.0,0.92,0.0,0.1216678938796651,0.008695652173913044,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
epilê rosa mosqueta,epilê rosa mosqueta,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,58.0,1.0,0.92,0.0,0.1216678938796651,0.017241379310344827,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
hidratante para acne e manchas,hidratante para acne e manchas,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,17.0,2.0,0.92,0.0,0.1216678938796651,0.11764705882352941,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
hidratante para o rosto barato,hidratante para o rosto barato,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,10.0,2.0,0.92,0.0,0.1216678938796651,0.2,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
kit da garnier para o rosto,kit da garnier para o rosto,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,2.0,1.0,0.92,0.0,0.1216678938796651,0.5,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
kits de limpeza facial,kits de limpeza facial,WG_Shopping | Portfólio Geral | nbd,todos,2.0,1.0,0.92,0.0,0.0019842830030239,0.5,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
mascara de colageno para olheiras,mascara de colageno para olheiras,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,15.0,1.0,0.92,0.0,0.1216678938796651,0.06666666666666667,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
melhor produto para reduzir poros,melhor produto para reduzir poros,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,6.0,1.0,0.92,0.0,0.1216678938796651,0.16666666666666666,0.92,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.92, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
máscara de colágeno para o rosto benefícios,máscara de colágeno para o rosto benefícios,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,25.0,2.0,0.92,0.0,0.1216678938796651,0.08,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
oleo de rosa mosqueta puro rubiginosa preço,oleo de rosa mosqueta puro rubiginosa preço,WG_Shopping | Portfólio Geral | nbd,todos,1.0,2.0,0.92,0.0,0.0019842830030239,2.0,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
produtos coreanos para pele acneica,produtos coreanos para pele acneica,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | search | skin care coreano | shopping | best sellers | todos,70.0,2.0,0.92,0.0,0.1216678938796651,0.02857142857142857,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | skin care coreano: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
protetor solar coreano em bastão,protetor solar coreano em bastão,WG_Search | Soluções | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos coreanos para pele | search | skin care coreano | todos,70.0,1.0,0.92,0.0,0.0793697977877321,0.014285714285714285,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | skin care coreano: custo R$0.92, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
quais os melhores produtos de skincare,quais os melhores produtos de skincare,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,38.0,2.0,0.92,0.0,0.1216678938796651,0.05263157894736842,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
qual o melhor creme para acabar com o bigode chinês,qual o melhor creme para acabar com o bigode chinês,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1.0,2.0,0.92,0.0,0.1216678938796651,2.0,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
skin care diurno,skin care diurno,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,75.0,1.0,0.92,0.0,0.1216678938796651,0.013333333333333334,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skin care kit completo,skin care kit completo,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | kit de skincare | search | produtos de skincare | shopping | best sellers | todos,300.0,2.0,0.92,0.0,0.1216678938796651,0.006666666666666667,0.46,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | kit de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skin care pele mista,skin care pele mista,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,182.0,1.0,0.92,0.0,0.1216678938796651,0.005494505494505495,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skinquer,skinquer,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,72.0,1.0,0.92,0.0,0.1216678938796651,0.013888888888888888,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
sunken eyes treatment,sunken eyes treatment,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1.0,1.0,0.92,0.0,0.1216678938796651,1.0,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
sweet skin,sweet skin,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,81.0,1.0,0.92,0.0,0.1216678938796651,0.012345679012345678,0.92,,,,,,,ads_only,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.92, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme para flacidez no rosto,creme para flacidez no rosto,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,220.0,2.0,0.9199999999999999,0.0,0.1216678938796651,0.00909090909090909,0.45999999999999996,,,,,,,ads_only,COMPRADOR,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.61, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.31, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skin care japonesa,skin care japonesa,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,112.0,1.0,0.91,0.0,0.1216678938796651,0.008928571428571428,0.91,,skin care japonesa,1.0,42.0,0.023809523809523808,32.9,ads+search_console,AMBÍGUA,False,False,False,False,0.01,0,monitorar,baixa,sem sinal forte,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.91, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
